company;body-style;wheel-base;length;engine-type;num-of-cylinders;horsepower;average-mileage;price
alfa-romero;convertible;88.6;168.8;dohc;four;111;21;13495.0
alfa-romero;convertible;88.6;168.8;dohc;four;111;21;16500.0
alfa-romero;hatchback;94.5;171.2;ohcv;six;154;19;16500.0
audi;sedan;99.8;176.6;ohc;four;102;24;13950.0
audi;sedan;99.4;176.6;ohc;five;115;18;17450.0
audi;sedan;99.8;177.3;ohc;five;110;19;15250.0
audi;wagon;105.8;192.7;ohc;five;110;19;18920.0
bmw;sedan;101.2;176.8;ohc;four;101;23;16430.0
bmw;sedan;101.2;176.8;ohc;four;101;23;16925.0
bmw;sedan;101.2;176.8;ohc;six;121;21;20970.0
bmw;sedan;103.5;189.0;ohc;six;182;16;30760.0
bmw;sedan;103.5;193.8;ohc;six;182;16;41315.0
bmw;sedan;110.0;197.0;ohc;six;182;15;36880.0
chevrolet;hatchback;88.4;141.1;l;three;48;47;5151.0
chevrolet;hatchback;94.5;155.9;ohc;four;70;38;6295.0
chevrolet;sedan;94.5;158.8;ohc;four;70;38;6575.0
dodge;hatchback;93.7;157.3;ohc;four;68;31;6377.0
dodge;hatchback;93.7;157.3;ohc;four;68;31;6229.0
honda;wagon;96.5;157.1;ohc;four;76;30;7295.0
honda;sedan;96.5;175.4;ohc;four;101;24;12945.0
honda;sedan;96.5;169.1;ohc;'n.a;100;25;10345.0
isuzu;sedan;94.3;170.7;ohc;four;78;24;6785.0
jaguar;sedan;113.0;199.6;dohc;six;176;15;32250.0
jaguar;sedan;113.0;199.6;dohc;six;176;15;35550.0
jaguar;sedan;102.0;191.7;ohcv;twelve;262;13;36000.0
mazda;hatchback;93.1;159.1;ohc;four;68;30;5195.0
mazda;hatchback;93.1;159.1;ohc;four;68;31;6095.0
mazda;hatchback;93.1;159.1;ohc;four;68;31;6795.0
mazda;hatchback;95.3;169.0;rotor;two;101;17;11845.0
mazda;sedan;104.9;175.0;ohc;four;72;31;18344.0
mercedes-benz;wagon;110.0;190.9;ohc;five;123;22;28248.0
mercedes-benz;sedan;120.9;208.1;ohcv;eight;184;14;40960.0
mercedes-benz;hardtop;112.0;199.2;ohcv;eight;184;14;45400.0
mitsubishi;hatchback;93.7;157.3;ohc;four;68;37;5389.0
mitsubishi;hatchback;93.7;157.3;ohc;four;68;31;6189.0
mitsubishi;sedan;96.3;172.4;ohc;four;88;25;6989.0
mitsubishi;sedan;96.3;172.4;ohc;four;88;25;8189.0
nissan;sedan;94.5;165.3;ohc;four;55;45;7099.0
nissan;sedan;94.5;165.3;ohc;four;69;31;6649.0
nissan;sedan;94.5;165.3;ohc;four;69;31;6849.0
nissan;sedan;100.4;184.6;ohcv;six;152;19;13499.0
porsche;hardtop;89.5;168.9;ohcf;six;207;17;34028.0
porsche;convertible;89.5;168.9;ohcf;six;207;17;37028.0
toyota;hatchback;95.7;158.7;ohc;four;62;35;5348.0
toyota;hatchback;95.7;158.7;ohc;four;62;31;6338.0
toyota;hatchback;95.7;158.7;ohc;four;62;31;6488.0
toyota;wagon;95.7;169.7;ohc;four;62;31;6918.0
toyota;wagon;95.7;169.7;ohc;four;62;27;7898.0
toyota;wagon;104.5;187.8;dohc;six;156;19;15750.0
volkswagen;sedan;97.3;171.7;ohc;four;52;37;7775.0
volkswagen;sedan;97.3;171.7;ohc;four;85;27;7975.0
volkswagen;sedan;97.3;171.7;ohc;four;52;37;7995.0
volkswagen;sedan;97.3;171.7;ohc;four;100;26;9995.0
